angle_deg,dice,iou
-180.0,0.8772289248046135,0.7813070216935866
-178.0,0.8788034358838305,0.7838085345691229
-176.0,0.879614844588828,0.7851004097479467
-174.0,0.8802391916970238,0.7860957314902342
-172.0,0.880807858988392,0.7870032559308835
-170.0,0.881672012501028,0.788384107664871
-168.0,0.8830276249901596,0.790554578381923
-166.0,0.884708600963297,0.7932533163327857
-164.0,0.8865934336020973,0.7962890289666675
-162.0,0.8885775641681154,0.7994957952266161
-160.0,0.8907704297104976,0.8030532664919956
-158.0,0.8932645163044032,0.8071165418150559
-156.0,0.8959191288714,0.8114615082096156
-154.0,0.8985880288964678,0.8158509735427608
-152.0,0.9007322228798512,0.8193929101056531
-150.0,0.9019268766359875,0.8213723270749772
-148.0,0.9031840302720641,0.8234599560909913
-146.0,0.9042545666445478,0.8252414649591462
-144.0,0.9051807091091387,0.8267854947756608
-142.0,0.9062105121656137,0.8285054137426721
-140.0,0.9076006661831466,0.8308323138682093
-138.0,0.9092184207347355,0.8335476487851697
-136.0,0.9110351559224362,0.8366065818168377
-134.0,0.9126236378876781,0.8392895686226142
-132.0,0.9138336741192639,0.8413386166969102
-130.0,0.9150091022163813,0.8433334363316133
-128.0,0.9161692309756,0.8453065341559559
-126.0,0.9164995001777891,0.8458690146688215
-124.0,0.9161451814768461,0.8452655889145496
-122.0,0.915606036195693,0.844348149065247
-120.0,0.9151792309655237,0.8436225200408555
-118.0,0.9144471619006665,0.842379228174419
-116.0,0.9134280606003575,0.8406512514072919
-114.0,0.9119998386305109,0.8382350214751414
-112.0,0.9104788808178639,0.8356688684486697
-110.0,0.9088505221229412,0.8329294386789253
-108.0,0.9076584989920814,0.8309292452539543
-106.0,0.9063665620834063,0.8287663221143486
-104.0,0.9051045732046106,0.8266584653236968
-102.0,0.9037264047687205,0.8243621014862282
-100.0,0.9015209688935591,0.8206992972687916
-98.0,0.8991318169878293,0.8167479366400118
-96.0,0.8963164983164983,0.8121137055589791
-94.0,0.8931248632546241,0.8068885401841648
-92.0,0.8900493611981278,0.8018819306765613
-90.0,0.8873362621689082,0.7974882545364397
-88.0,0.8858203954922104,0.7950427309101019
-86.0,0.8847519224869446,0.7933229747948949
-84.0,0.8837669330038719,0.7917405057549127
-82.0,0.882997924680083,0.7905069687781793
-80.0,0.8820443391436791,0.7889797154102332
-78.0,0.8807033479525227,0.78683639975291
-76.0,0.8791339317530077,0.7843345040571637
-74.0,0.877687135387114,0.7820342821160216
-72.0,0.8763023712255471,0.7798382311986148
-70.0,0.875010218818977,0.777793926181609
-68.0,0.8738586266668487,0.7759759541383364
-66.0,0.8729180551995215,0.7744938681934521
-64.0,0.872181120396586,0.773334385662421
-62.0,0.8712337032351842,0.7718459576018951
-60.0,0.8700678217413987,0.7700177395446041
-58.0,0.8691505625697844,0.768582035593416
-56.0,0.8684440349055501,0.7674777577908503
-54.0,0.8676009030339739,0.7661617757895505
-52.0,0.8664811281111579,0.7644170287763226
-50.0,0.8651624579850039,0.7623667934432604
-48.0,0.8639122259216451,0.7604273592526679
-46.0,0.8628209334046998,0.7587379672648872
-44.0,0.8619973530804131,0.7574651565299244
-42.0,0.8613763127046643,0.7565065809852953
-40.0,0.8609898989199907,0.7559106790217226
-38.0,0.8607923658095746,0.7556062125771253
-36.0,0.8606169781580725,0.7553359683794466
-34.0,0.8605747237971139,0.7552708736328576
-32.0,0.86069113722228,0.7554502254321543
-30.0,0.8606441727361914,0.7553778654057969
-28.0,0.860737027831796,0.7555209366575589
-26.0,0.8610001005160982,0.7559264060569544
-24.0,0.8616889283213996,0.7569889723120391
-22.0,0.8623008874089115,0.7579340423717457
-20.0,0.8631320640928327,0.7592192873344552
-18.0,0.8639478655736,0.7604825864878224
-16.0,0.8649581774882921,0.7620496093917016
-14.0,0.8664598318745125,0.764383880023731
-12.0,0.8680210434384812,0.7668172967412469
-10.0,0.8695866039448251,0.7692642417185058
-8.0,0.8710703689984526,0.771589605833686
-6.0,0.8723432955068188,0.7735894195732986
-4.0,0.8735714779244109,0.7755232230046373
-2.0,0.874747704760229,0.777379178394687
0.0,0.8761829951870571,0.7796491701359297
2.0,0.8776831416148385,0.7820279407347469
4.0,0.8799024323210114,0.7855587385519479
6.0,0.8823006510823342,0.7893899660375736
8.0,0.8843533216057828,0.7926822521254295
10.0,0.886223975995232,0.7956931707047036
12.0,0.8876663963954717,0.7980217387292624
14.0,0.8884083222301937,0.7992218185841524
16.0,0.888906324623047,0.8000282463325822
18.0,0.889314224995232,0.8006893083612369
20.0,0.8896573297699437,0.8012457357741751
22.0,0.8901526854923317,0.8020496818404307
24.0,0.8906516425813494,0.8028601986249045
26.0,0.8915673253318711,0.8043495520364478
28.0,0.8927524669468004,0.8062808363050169
30.0,0.8944094344592814,0.8089879403247682
32.0,0.8964554032581817,0.8123417992394135
34.0,0.8988359631444498,0.8162598242048821
36.0,0.9014903867194995,0.8206486095532305
38.0,0.9036242242814618,0.8241920738254622
40.0,0.9050654390887249,0.8265931786238178
42.0,0.9064496526903488,0.8289052762137502
44.0,0.9080679576472482,0.8316158171260024
46.0,0.9098334819901686,0.834582118382362
48.0,0.9118224784634466,0.8379354107369484
50.0,0.9140342468737745,0.8416787032579041
52.0,0.916133443720818,0.8452456055714304
54.0,0.9181252241893146,0.8486427863163114
56.0,0.9199986582584194,0.8518495512004224
58.0,0.9212146026163357,0.8539368486545341
60.0,0.9216548083929045,0.8546936691203029
62.0,0.9216304099539121,0.8546517061135996
64.0,0.9213376663093193,0.8541483627753372
66.0,0.9203233993915251,0.8524065436565514
68.0,0.9186568117774445,0.8495515778736955
70.0,0.9165369054385369,0.8459327410773596
72.0,0.9138673267593128,0.8413956685720656
74.0,0.9109096045957836,0.836394856147546
76.0,0.9074717417697169,0.8306162654682017
78.0,0.904168838812747,0.8250986747202426
80.0,0.9008691440411162,0.8196195559037384
82.0,0.897888472885193,0.8146983774280586
84.0,0.8949218920855806,0.8098268219017927
86.0,0.8924302252384174,0.8057553082202189
88.0,0.8902297282273632,0.8021747841608684
90.0,0.8876635129714954,0.7980170778563593
92.0,0.8853711753577198,0.7943192888824344
94.0,0.8832646893141333,0.7909346833240702
96.0,0.8813615367225538,0.7878877453760119
98.0,0.8797671976962834,0.7853431857084308
100.0,0.878409831801337,0.7831825355710035
102.0,0.8771685437326509,0.7812112306228395
104.0,0.876460711432479,0.7800890635074631
106.0,0.8764927537214974,0.7801398314294684
108.0,0.8768905535200832,0.780770348133443
110.0,0.8772800959036604,0.7813882097420994
112.0,0.8776246920657017,0.7819351386845337
114.0,0.8775341417068803,0.7817913883289996
116.0,0.8764524089025179,0.7800759094204444
118.0,0.8750411206754757,0.7778427609735296
120.0,0.8734708719546082,0.7753646578763056
122.0,0.87182815193281,0.7727795667180015
124.0,0.8701762826019724,0.7701876577754798
126.0,0.8687407794601621,0.7679413910505837
128.0,0.8674722014777698,0.7659610674543122
130.0,0.8663333264461387,0.7641869931047052
132.0,0.8653775893564953,0.7627009490017862
134.0,0.8646084202245485,0.7615068101839753
136.0,0.8635880077369439,0.7599251095698055
138.0,0.8628599282995516,0.7587982780426111
140.0,0.8623681806858756,0.758038027809204
142.0,0.8617256254197738,0.7570456162975309
144.0,0.8610558838403082,0.7560124080043793
146.0,0.8603526961608167,0.7549289093761783
148.0,0.8594879189210736,0.7535982592205392
150.0,0.8590260562037342,0.7528884080784262
152.0,0.8590960169808964,0.7529958960328318
154.0,0.8595718998116526,0.753727393835429
156.0,0.8602437721555869,0.7547611946657578
158.0,0.8612319066741572,0.7562838401617629
160.0,0.862334943025227,0.7579866655290518
162.0,0.863475079004269,0.7597502378106783
164.0,0.864887143307392,0.7619393421614694
166.0,0.8665904761904762,0.7645872546383436
168.0,0.8683666580109063,0.7673569042111833
170.0,0.8700635752329996,0.7700110874931851
172.0,0.8716843547204273,0.7725536363580622
174.0,0.8734185091467209,0.7752821400298249
176.0,0.8747685632962113,0.7774121258633921
178.0,0.875776611901146,0.779005864112247
180.0,0.8772289248046135,0.7813070216935866
57.0,0.9205981727346237,0.8528780936631583
57.25,0.9207895875904694,0.8532067305898593
57.5,0.920989758801659,0.8535505258771356
57.75,0.9210747102135057,0.8536964690073905
58.0,0.9212146026163357,0.8539368486545341
58.25,0.9213538957225085,0.8541762604702104
58.5,0.9214187653773988,0.8542877771277059
58.75,0.9215281484241515,0.8544758466135458
59.0,0.9216117412861837,0.854619599053667
59.25,0.9216380080168125,0.8546647738593345
59.5,0.9217133226345794,0.8547943158183154
59.75,0.9217205037553342,0.8548066683688402
60.0,0.9216548083929045,0.8546936691203029
60.25,0.9217259316222669,0.8548160051822508
60.5,0.9217341661629391,0.8548301701101886
60.75,0.9217429267064059,0.8548452400974218
61.0,0.9217635442833922,0.8548807076558899
61.25,0.9216901257082213,0.8547544149250942
61.5,0.9216822348290189,0.8547408422626463
61.75,0.9216904095692687,0.8547549031823959
62.0,0.9216304099539121,0.8546517061135996
62.25,0.9216391085549964,0.8546666666666667
62.5,0.9216058487352043,0.8546094650590398
62.75,0.9215903669509008,0.8545828400523398
63.0,0.9215794973105003,0.8545641472988972
