subject,classical_baseline_dice,visual_review_flag,voxelmorph_dice,voxelmorph_quality_status,transmorph_dice,transmorph_quality_status,deeperhistreg_dice_approx,voxelmorph_minus_baseline,transmorph_minus_baseline,deeperhistreg_minus_baseline_approx
SB012,0.9702977049368624,ok,0.992488,acceptable_exploratory,0.981403,acceptable_exploratory,0.8719294744248025,0.022190295063137633,0.011105295063137621,-0.0983682305120599
SB013,0.9839331152308252,ok,0.996343,acceptable_exploratory,0.995615,acceptable_exploratory,0.8565714476184128,0.012409884769174817,0.011681884769174866,-0.1273616676124124
SB017,0.608630797966172,review_rejected_nonrigid,0.846986,reject_as_final,0.77998,needs_review,0.2312781435405929,0.23835520203382798,0.17134920203382797,-0.37735265442557914
SB018,0.976882042029085,review_high_nonrigid_displacement,0.950115,needs_review,0.926672,not_better_than_baseline,0.7702731151614347,-0.026767042029084975,-0.05021004202908497,-0.2066089268676503
SB019,0.9709685703398114,review_moderate_nonrigid_displacement,0.96715,needs_review,0.944152,needs_review,0.8337952732312072,-0.003818570339811478,-0.02681657033981144,-0.13717329710860426
SB020,0.9650062303447458,ok,0.980599,acceptable_exploratory,0.96672,acceptable_exploratory,0.8645102684884298,0.015592769655254246,0.0017137696552542714,-0.10049596185631593
