method,mean_dice,std_dice,mean_gain_vs_baseline,best_subject_count
Classical baseline,0.9126197434745836,0.14906387613346025,0.0,2
VoxelMorph-style,0.9556135,0.05586797691253908,0.04299375652541637,4
TransMorph-style,0.9324236666666668,0.07871221653762946,0.019803923192083128,0
DeeperHistReg (approx.),0.7380596204108133,0.2509926083233595,-0.17456012306377033,0
