drawn_matches,inside_drawn,outside_drawn,condition_id,condition,total_matches,high_confidence_ge_0_5,affine_inliers,homography_inliers
30,25,5,unsegmented_full,Escenas completas,30,2,6,10
70,42,28,segmented_full,Máscaras aplicadas sin recorte,70,15,10,15
