subject,initial_stage,initial_dice,voxelmorph_dice,baseline_final_method,baseline_final_note,baseline_visual_review_flag,baseline_dice,voxelmorph_minus_initial,voxelmorph_minus_baseline,flow_mean_px,flow_p95_px,flow_max_px,flow_smoothness_px,jacobian_det_min,jacobian_det_p01,jacobian_det_negative_fraction,config_tag,config_label,smooth_weight,max_disp_norm,quality_status
SB012,rigid,0.9260444903563353,0.9961211132530726,nonrigid_final,nonrigid_accepted,ok,0.9702977049368624,0.07007662289673733,0.025823408316210217,15.071751594543457,50.029754638671875,70.0522689819336,0.6850557923316956,-6.465980052947998,-0.3166358768939972,0.048528337558544236,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,acceptable_exploratory
SB013,affine,0.9414837224937295,0.9961814287044798,nonrigid_final,nonrigid_accepted,ok,0.9839331152308252,0.05469770621075032,0.012248313473654626,11.79053783416748,23.864852905273438,51.88399887084961,0.7599619030952454,-16.529804229736328,-0.16677075624465942,0.018511752527097795,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,acceptable_exploratory
SB017,rigid,0.608630797966172,0.9461039469307085,rigid,fallback_to_rigid,review_rejected_nonrigid,0.608630797966172,0.3374731489645365,0.3374731489645365,48.1848258972168,84.14151763916016,84.32001495361328,2.2707133293151855,-363.13751220703125,-2.7439303398132324,0.22654657213279372,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,reject_as_final
SB018,rigid,0.8385216845033766,0.9764256468184057,nonrigid_final,nonrigid_accepted,review_high_nonrigid_displacement,0.976882042029085,0.1379039623150291,-0.00045639521067930566,26.670007705688477,82.35823059082031,82.75602722167969,1.6588401794433594,-404.42230224609375,-2.7490644454956055,0.11695924963559161,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,reject_as_final
SB019,rigid,0.8520236687494607,0.9950874266333847,nonrigid_final,nonrigid_accepted,review_moderate_nonrigid_displacement,0.9709685703398114,0.143063757883924,0.024118856293573243,27.697860717773438,84.83967590332031,85.86561584472656,1.0466978549957275,-4.356135368347168,-1.1143431663513184,0.1027710528037689,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,reject_as_final
SB020,affine,0.8899381721611817,0.9954692588596359,nonrigid_final,nonrigid_accepted,ok,0.9650062303447458,0.10553108669845424,0.030463028514890134,22.066896438598633,63.408966064453125,79.62660217285156,1.073010802268982,-12.789572715759277,-0.588571310043335,0.07911043205160852,current_s008_d022,"current smooth=0.08, max_disp=0.22",0.08,0.22,needs_review
SB012,rigid,0.9260444903563353,0.9964679039183629,,,,0.9702977049368624,,0.026170198981500525,14.20247745513916,56.74976348876953,73.97042083740234,0.7033259868621826,-9.875484466552734,-0.32318812906742095,0.0371331585957977,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,acceptable_exploratory
SB013,affine,0.9414837224937295,0.9965625467045285,,,,0.9839331152308252,,0.012629431473703323,11.988120079040527,29.5751953125,45.70819091796875,0.7143235802650452,-14.044135093688965,-0.1729976274073124,0.01972494683492126,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,acceptable_exploratory
SB017,rigid,0.608630797966172,0.9189957604131086,,,,0.608630797966172,,0.31036496244693657,42.53085708618164,68.95492553710938,68.9891128540039,1.8645179271697998,-129.277587890625,-2.0382901859283447,0.2012327271128963,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,reject_as_final
SB018,rigid,0.8385216845033766,0.9699695516328684,,,,0.976882042029085,,-0.006912490396216664,23.566679000854492,67.69809608459472,67.70950317382812,1.3812613487243652,-424.22052001953125,-2.2936644434928892,0.08789459971410665,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,needs_review
SB019,rigid,0.8520236687494607,0.9883459583734197,,,,0.9709685703398114,,0.01737738803360822,23.88292694091797,70.13953590393066,70.25424194335938,1.0201704502105713,-15.392494201660156,-1.1683590352535247,0.10485179611332854,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,reject_as_final
SB020,affine,0.8899381721611817,0.9917560381450343,,,,0.9650062303447458,,0.026749807800288572,19.7562313079834,57.696700668334955,66.35968017578125,0.9754897356033325,-13.15616226196289,-0.5051399648189545,0.06340718105423988,reg_s015_d018,"smooth=0.15, max_disp=0.18",0.15,0.18,needs_review
SB012,rigid,0.9260444903563353,0.9959928658283596,,,,0.9702977049368624,,0.02569516089149715,12.46135425567627,43.7015941619873,62.215309143066406,0.6376557350158691,-17.00295066833496,-0.2809591966867447,0.029719703805554363,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,acceptable_exploratory
SB013,affine,0.9414837224937295,0.9968224845777495,,,,0.9839331152308252,,0.012889369346924306,9.08983325958252,23.381471633911133,39.55868148803711,0.6550482511520386,-21.534025192260742,-0.07072728537023068,0.013813552176723531,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,acceptable_exploratory
SB017,rigid,0.608630797966172,0.8872238381487945,,,,0.608630797966172,,0.27859304018262243,35.276947021484375,57.480472564697266,57.49090576171875,1.5276014804840088,-158.93487548828125,-1.684583070278168,0.18131840266155452,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,reject_as_final
SB018,rigid,0.8385216845033766,0.9621832046954293,,,,0.976882042029085,,-0.014698837333655734,19.815906524658203,56.42314128875732,56.424583435058594,1.1439292430877686,-393.9584655761719,-1.818195388317108,0.07496602375872291,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,needs_review
SB019,rigid,0.8520236687494607,0.9748654434696132,,,,0.9709685703398114,,0.0038968731298018033,19.755207061767578,58.216308784484866,58.54520034790039,1.1585263013839722,-81.49420166015625,-1.7417957603931427,0.1086959366616502,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,reject_as_final
SB020,affine,0.8899381721611817,0.9887293553807758,,,,0.9650062303447458,,0.023723125036030024,17.850439071655273,54.33141670227051,55.30385208129883,0.8815840482711792,-8.070430755615234,-0.4487210786342621,0.05146828164730978,reg_s030_d015,"smooth=0.30, max_disp=0.15",0.3,0.15,needs_review
SB012,rigid,0.9260444903563353,0.9924883456908293,,,,0.9702977049368624,,0.022190640753966928,15.213047981262207,48.71843338012695,50.132450103759766,0.5457569360733032,-31.973388671875,-0.224104081094265,0.0261647975479454,reg_s050_d012,"smooth=0.50, max_disp=0.12",0.5,0.12,acceptable_exploratory
SB013,affine,0.9414837224937295,0.9963427933079767,,,,0.9839331152308252,,0.012409678077151542,8.474615097045898,23.016953468322754,36.41943359375,0.5700797438621521,-18.317489624023438,-0.01828316487371922,0.011199797644810433,reg_s050_d012,"smooth=0.50, max_disp=0.12",0.5,0.12,acceptable_exploratory
SB017,rigid,0.608630797966172,0.8469864962817794,,,,0.608630797966172,,0.23835569831560732,28.591819763183594,45.98103332519531,45.99272918701172,1.331470251083374,-65.47434997558594,-1.7279302382469177,0.15504096129723735,reg_s050_d012,"smooth=0.50, max_disp=0.12",0.5,0.12,reject_as_final
SB018,rigid,0.8385216845033766,0.950115231935998,,,,0.976882042029085,,-0.026766810093087012,17.95013427734375,45.139163970947266,45.13966369628906,0.9691240787506104,-265.63970947265625,-1.0795463502407074,0.06293526557801861,reg_s050_d012,"smooth=0.50, max_disp=0.12",0.5,0.12,needs_review
SB019,rigid,0.8520236687494607,0.9671500406605714,,,,0.9709685703398114,,-0.0038185296792400125,20.05493927001953,46.78449325561523,46.83615493774414,0.9658514261245728,-36.65338134765625,-1.605810101032257,0.09266178106392724,reg_s050_d012,"smooth=0.50, max_disp=0.12",0.5,0.12,needs_review
