condition_id,condition,num_matches,mean_confidence,median_confidence,high_confidence_matches_ge_0_5,affine_inliers,affine_inlier_ratio,affine_dice,affine_iou,homography_inliers,homography_inlier_ratio,homography_dice,homography_iou,pair_resize_factor,effective_px_per_cm,moving_shape,fixed_shape
unsegmented_full,Escenas completas,30,0.3327500522136688,0.2877441644668579,2,6,0.2,0.4009746977057823,0.25076194674998564,10,0.3333333333333333,0.5732789041900277,0.4018156778319509,0.588957055214724,118.7026698981914,"[616, 272, 3]","[592, 768, 3]"
segmented_full,Máscaras aplicadas sin recorte,70,0.37341901659965515,0.295754998922348,15,10,0.14285714285714285,0.7676561859593654,0.6229237143182941,15,0.21428571428571427,0.8294342421359818,0.7085755213355004,0.588957055214724,118.7026698981914,"[616, 272, 3]","[592, 768, 3]"
segmented_cropped,Segmentadas y recortadas,82,0.38127461075782776,0.3351675868034363,16,12,0.14634146341463414,0.4477197542533081,0.28842714160672833,17,0.2073170731707317,0.42035029190992496,0.26610348468849,0.588957055214724,118.7026698981914,"[296, 256, 3]","[232, 328, 3]"
