angle_deg,dice,iou
-180.0,0.8858356650126613,0.7950673318067822
-178.0,0.8852086433195941,0.7940576844402019
-176.0,0.8847618304603552,0.7933389069938064
-174.0,0.8846643973781908,0.7931822451454238
-172.0,0.8840573355624989,0.7922067716696847
-170.0,0.8831415541835701,0.7907372303909012
-168.0,0.8822301672396491,0.7892771314653996
-166.0,0.8812068985257244,0.7876406257461949
-164.0,0.8793814118221788,0.7847285607247463
-162.0,0.8776834271538976,0.782028394117147
-160.0,0.8760405335776035,0.779423600004075
-158.0,0.874825765010941,0.7775024861100269
-156.0,0.8741315662761103,0.7764064966142253
-154.0,0.8742164455158412,0.7765404300264563
-152.0,0.8747827184432602,0.7774344855715305
-150.0,0.8755788044257858,0.7786929025102994
-148.0,0.8759325949712069,0.779252730799333
-146.0,0.8768335175616081,0.7806799181346692
-144.0,0.8781832853378614,0.7828224288870101
-142.0,0.8793611403728465,0.7846962764305869
-140.0,0.8807405369045435,0.7868957698769344
-138.0,0.8822108360912766,0.7892461875424983
-136.0,0.8833570575372368,0.7910828286694646
-134.0,0.8841853248293031,0.7924123463370302
-132.0,0.8848706632293638,0.7935139306727496
-130.0,0.8854813465265192,0.7944966589539352
-128.0,0.8862644396412549,0.7957584108706922
-126.0,0.88760651657599,0.7979249517390978
-124.0,0.8893721820179593,0.8007832755656232
-122.0,0.8912369505715361,0.8038119154772913
-120.0,0.8929898079236454,0.8066680996393686
-118.0,0.8942314400188546,0.8086967493759293
-116.0,0.8956501275498198,0.8110202662157002
-114.0,0.8964732821844256,0.8123711621219194
-112.0,0.8979522876258701,0.814803458637395
-110.0,0.8998580996601515,0.8179473024181456
-108.0,0.9021189620997584,0.8216909947047732
-106.0,0.9051258858356008,0.8266940227428676
-104.0,0.9085348102919332,0.8323992545606866
-102.0,0.9120322918491407,0.838289854575975
-100.0,0.9158266082116295,0.8447233764895773
-98.0,0.9200677962317649,0.8519681078324628
-96.0,0.9236007795762914,0.8580466819854529
-94.0,0.9253148132312645,0.861010112192405
-92.0,0.9260146302217944,0.8622227604581156
-90.0,0.9256069115112616,0.8615160702618051
-88.0,0.924968537348673,0.860410666556161
-86.0,0.9245357595506327,0.859662018296702
-84.0,0.9242089908450979,0.8590971508221834
