subject,initial_stage,initial_dice,voxelmorph_dice,baseline_final_method,baseline_final_note,baseline_visual_review_flag,baseline_dice,voxelmorph_minus_initial,voxelmorph_minus_baseline,flow_mean_px,flow_p95_px,flow_max_px,flow_smoothness_px,jacobian_det_min,jacobian_det_p01,jacobian_det_negative_fraction
SB012,rigid,0.9260444903563353,0.9961211132530726,nonrigid_final,nonrigid_accepted,ok,0.9702977049368624,0.07007662289673733,0.025823408316210217,15.071751594543457,50.029754638671875,70.0522689819336,0.6850557923316956,-6.465980052947998,-0.3166358768939972,0.048528337558544236
SB013,affine,0.9414837224937295,0.9961814287044798,nonrigid_final,nonrigid_accepted,ok,0.9839331152308252,0.05469770621075032,0.012248313473654626,11.79053783416748,23.864852905273438,51.88399887084961,0.7599619030952454,-16.529804229736328,-0.16677075624465942,0.018511752527097795
SB017,rigid,0.608630797966172,0.9461039469307085,rigid,fallback_to_rigid,review_rejected_nonrigid,0.608630797966172,0.3374731489645365,0.3374731489645365,48.1848258972168,84.14151763916016,84.32001495361328,2.2707133293151855,-363.13751220703125,-2.7439303398132324,0.22654657213279372
SB018,rigid,0.8385216845033766,0.9764256468184057,nonrigid_final,nonrigid_accepted,review_high_nonrigid_displacement,0.976882042029085,0.1379039623150291,-0.00045639521067930566,26.670007705688477,82.35823059082031,82.75602722167969,1.6588401794433594,-404.42230224609375,-2.7490644454956055,0.11695924963559161
SB019,rigid,0.8520236687494607,0.9950874266333847,nonrigid_final,nonrigid_accepted,review_moderate_nonrigid_displacement,0.9709685703398114,0.143063757883924,0.024118856293573243,27.697860717773438,84.83967590332031,85.86561584472656,1.0466978549957275,-4.356135368347168,-1.1143431663513184,0.1027710528037689
SB020,affine,0.8899381721611817,0.9954692588596359,nonrigid_final,nonrigid_accepted,ok,0.9650062303447458,0.10553108669845424,0.030463028514890134,22.066896438598633,63.408966064453125,79.62660217285156,1.073010802268982,-12.789572715759277,-0.588571310043335,0.07911043205160852
