config_tag,config_label,mean_transmorph_dice,mean_gain_vs_baseline,mean_gain_vs_voxelmorph,mean_flow_p95_px,mean_negative_jacobian_fraction,acceptable_count,needs_review_count,reject_count,not_better_count
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.9548156696099634,0.04219592613537979,-0.0007978303900365765,42.343072191874185,0.05918741778525626,3,1,1,1
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.9450241478236525,0.03240440434906883,-0.010589352176347544,36.2442051410675,0.054344410063809745,3,2,1,0
tm_s100_d008,"smooth=1.00, max_disp=0.08",0.9324236074536522,0.019803863979068508,-0.023189892546347863,29.378169663747155,0.03972212905753817,3,2,0,1
